1. What is your gender?,2. What is your age?,3. What is your current family situation?,4. What year of study are you in?,5. How much stress do you experience in the following areas of life? [Academic performance],5. How much stress do you experience in the following areas of life? [Family relationships],5. How much stress do you experience in the following areas of life? [Financial situation],5. How much stress do you experience in the following areas of life? [Social life],5. How much stress do you experience in the following areas of life? [Problems of loved ones],5. How much stress do you experience in the following areas of life? [Workload and Examinations],6. Are you involved in any extracurricular activities?,7. How often do you have a drink containing alcohol,"8. Over the last two weeks, how often have you experienced the following feelings? [Feeling optimistic about the future]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling useful]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling relaxed]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling able to deal with problems well]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling able to think clearly]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling close to others]","8. Over the last two weeks, how often have you experienced the following feelings? [Feeling confident]",9. Which of the following best describes your sexual attraction?,10. Please indicate how often you experience the following symptoms: [Mood Swings],10. Please indicate how often you experience the following symptoms: [Depressive Episodes],10. Please indicate how often you experience the following symptoms: [Manic Episodes],11. How would you rank your varsity academic performance?,12. How often do you pay attention to your feelings and emotions?,13. How often do you understand your own emotional states?,14. Have you been diagnosed with depression?,"15. Have you ever made an attempt to take your life, by taking an overdose of tablets or in some other way?",16. Have you ever deliberately harmed yourself in any way but not with the intention of killing yourself?,17. Do you have a family history of mental illness?,18. How many hours do you sleep on average per night?,19. How do you spend your free time after University?,"20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling fearful]","20. Over the past two weeks, how often have you experienced the following symptoms? [Nervousness or shakiness inside]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling hopeless about the future]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling blue]","20. Over the past two weeks, how often have you experienced the following symptoms? [Worrying too much about things]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling no interest in things]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling everything is an effort]","20. Over the past two weeks, how often have you experienced the following symptoms? [Feeling worthless]",21. How would you describe your living environment?,22. How often do you go out with friends?
Male,22 to 26,Both parents are together,Third year,Moderate,Moderate,Mild,Mild,Moderate,Moderate,Yes,Never,All of the time,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Heterosexual with no same-sex attraction,Often,Often,Often,Top 50%,Sometimes,Often,No,No,No,No,7-8 hours,Very Poorly (Not at all productively),Quite a bit,Quite a bit,A little,Quite a bit,A little,Quite a bit,A little,Quite a bit,Very stressful,Rarely
Female,17 to 21,Both parents are together,First year,Mild,Not at all,Not at all,Not at all,Not at all,Mild,Yes,Never,Often,Some of the time,Often,Some of the time,Some of the time,Often,All of the time,Heterosexual with no same-sex attraction,Rarely,Rarely,Never,Top 50%,Often,Always,No,No,No,No,7-8 hours,Very Well (Very Productively),Not at all,Not at all,Not at all,A little,Not at all,Not at all,Not at all,Not at all,Relaxing,Sometimes
Female,22 to 26,Both parents are together,Second year,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Yes,Never,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Heterosexual with no same-sex attraction,Always,Always,Always,Bottom 50%,Sometimes,Sometimes,Yes,Yes,Yes,No,7-8 hours,Moderately Well,A little,A little,A little,Quite a bit,Not at all,Quite a bit,Not at all,Quite a bit,Relaxing,Sometimes
Male,22 to 26,Both parents are together,Third year,Moderate,Moderate,Moderate,Moderate,Moderate,Severe,Yes,Never,Some of the time,Often,Often,Some of the time,Often,Often,Often,Non-heterosexual without same-sex sexual contact,Never,Never,Sometimes,Bottom 50%,Often,Often,No,Yes,No,No,5-6 hours,Very Poorly (Not at all productively),Quite a bit,Not at all,Quite a bit,Extremely,Not at all,Not at all,A little,Extremely,Relaxing,Sometimes
Male,22 to 26,Both parents are together,Third year,Mild,Not at all,Not at all,Moderate,Not at all,Moderate,No,Never,Rarely,All of the time,Not at all,Often,Often,Not at all,Often,Heterosexual with no same-sex attraction,Rarely,Sometimes,Never,Top 50%,Rarely,Often,No,No,No,No,5-6 hours,Poorly,Not at all,Not at all,A little,Not at all,Not at all,Not at all,A little,Not at all,Stressful,Always
Male,22 to 26,Both parents are together,Third year,Severe,Moderate,Moderate,Severe,Moderate,Severe,No,Never,Not at all,Not at all,Rarely,Rarely,Rarely,Rarely,Rarely,Heterosexual with no same-sex attraction,Sometimes,Often,Rarely,Bottom 50%,Rarely,Sometimes,No,No,No,No,Less than 5 hours,Very Poorly (Not at all productively),A little,Quite a bit,Extremely,Quite a bit,Quite a bit,Extremely,A little,Quite a bit,Neutral,Sometimes
Female,22 to 26,Both parents are together,Third year,Moderate,Very Severe,Severe,Very Severe,Very Severe,Moderate,No,Never,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Heterosexual with no same-sex attraction,Always,Always,Often,Bottom 50%,Sometimes,Sometimes,No,Yes,Yes,No,Less than 5 hours,Poorly,Quite a bit,Extremely,Quite a bit,Quite a bit,Quite a bit,Extremely,Quite a bit,Extremely,Very stressful,Rarely
Male,22 to 26,Both parents are together,Fourth year,Severe,Moderate,Severe,Moderate,Mild,Severe,No,Never,Often,Often,Often,Some of the time,Often,Some of the time,Some of the time,Heterosexual with no same-sex attraction,Rarely,Rarely,Rarely,Top 50%,Often,Rarely,No,No,No,No,5-6 hours,Moderately Well,Not at all,A little,A little,Not at all,A little,Not at all,Quite a bit,Not at all,Relaxing,Sometimes
Male,22 to 26,Both parents are together,Second year,Moderate,Not at all,Moderate,Mild,Severe,Moderate,Yes,Monthly or less,Often,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Rarely,Heterosexual with no same-sex attraction,Rarely,Sometimes,Rarely,Top 50%,Rarely,Sometimes,Yes,No,No,No,5-6 hours,Moderately Well,Not at all,A little,A little,A little,A little,A little,A little,A little,Neutral,Sometimes
Female,22 to 26,Both parents are together,Second year,Mild,Moderate,Mild,Not at all,Not at all,Mild,No,Never,Some of the time,Often,Often,Some of the time,Some of the time,Often,Some of the time,Heterosexual with some same-sex attraction,Never,Never,Never,Bottom 50%,Always,Always,No,No,No,Yes,7-8 hours,Moderately Well,A little,Quite a bit,A little,Quite a bit,A little,Quite a bit,A little,Quite a bit,Relaxing,Often
Male,27 to 30,Separated,Third year,Not at all,Mild,Not at all,Mild,Not at all,Mild,Yes,Never,All of the time,Often,All of the time,Often,All of the time,Often,All of the time,Heterosexual with no same-sex attraction,Sometimes,Sometimes,Sometimes,Top 50%,Rarely,Often,No,No,No,No,7-8 hours,Well,A little,Extremely,A little,Extremely,A little,Extremely,A little,Extremely,Neutral,Sometimes
Female,22 to 26,Both parents are together,Third year,Mild,Mild,Mild,Mild,Mild,Mild,Yes,Monthly or less,Rarely,Not at all,Rarely,Not at all,Rarely,Not at all,Rarely,Heterosexual with some same-sex attraction,Rarely,Rarely,Rarely,Top 50%,Sometimes,Often,No,No,Yes,No,More than 8 hours,Poorly,Quite a bit,Extremely,Quite a bit,Extremely,Quite a bit,Extremely,Quite a bit,Extremely,Stressful,Never
Male,22 to 26,Separated,Third year,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Yes,Never,Not at all,Some of the time,Some of the time,Rarely,Often,Rarely,Rarely,Heterosexual with some same-sex attraction,Never,Sometimes,Never,Bottom 50%,Rarely,Rarely,Yes,Yes,No,No,Less than 5 hours,Poorly,Not at all,A little,Quite a bit,Quite a bit,Quite a bit,A little,Quite a bit,Not at all,Very stressful,Rarely
Male,22 to 26,Both parents are together,Third year,Moderate,Moderate,Severe,Moderate,Moderate,Moderate,No,Never,Some of the time,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Often,Heterosexual with no same-sex attraction,Rarely,Often,Rarely,Top 50%,Often,Often,No,No,No,No,7-8 hours,Moderately Well,Quite a bit,Quite a bit,Quite a bit,A little,Extremely,Quite a bit,A little,A little,Stressful,Often
Female,22 to 26,Both parents are together,Third year,Severe,Moderate,Not at all,Moderate,Severe,Very Severe,Yes,Never,Rarely,Some of the time,Not at all,Rarely,Not at all,Some of the time,Rarely,Heterosexual with no same-sex attraction,Often,Often,Sometimes,Top 50%,Often,Rarely,No,No,No,No,7-8 hours,Poorly,A little,Quite a bit,Extremely,A little,Quite a bit,Quite a bit,A little,Quite a bit,Stressful,Always
Female,22 to 26,I do not have a father (deceased),Third year,Severe,Mild,Mild,Mild,Moderate,Very Severe,No,Never,Some of the time,Some of the time,Rarely,Often,Often,Not at all,Rarely,Heterosexual with no same-sex attraction,Sometimes,Always,Sometimes,Bottom 50%,Often,Never,Yes,No,Yes,No,5-6 hours,Poorly,A little,Quite a bit,Extremely,A little,Quite a bit,Quite a bit,A little,Extremely,Neutral,Often
Male,22 to 26,Both parents are together,Third year,Moderate,Not at all,Not at all,Moderate,Not at all,Severe,Yes,Never,Often,Often,Some of the time,Often,Often,Often,Some of the time,Heterosexual with no same-sex attraction,Sometimes,Sometimes,Sometimes,Top 50%,Sometimes,Often,No,No,No,No,7-8 hours,Poorly,Not at all,Not at all,Not at all,Not at all,A little,A little,Quite a bit,Not at all,Neutral,Often
Male,22 to 26,Both parents are together,Third year,Moderate,Moderate,Mild,Moderate,Mild,Moderate,No,2-4 times a month,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Non-heterosexual without same-sex sexual contact,Rarely,Rarely,Rarely,Bottom 50%,Sometimes,Sometimes,No,No,No,No,5-6 hours,Moderately Well,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Neutral,Sometimes
Male,22 to 26,Both parents are together,Fourth year,Moderate,Moderate,Moderate,Mild,Moderate,Moderate,Yes,2-4 times a month,Rarely,Often,Some of the time,Some of the time,Rarely,Rarely,Rarely,Non-heterosexual without same-sex sexual contact,Sometimes,Rarely,Sometimes,Bottom 50%,Sometimes,Sometimes,Yes,Yes,Yes,Yes,5-6 hours,Very Poorly (Not at all productively),Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Stressful,Rarely
Female,22 to 26,Both parents are together,Third year,Moderate,Moderate,Mild,Mild,Severe,Moderate,Yes,Never,Often,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Rarely,Heterosexual with no same-sex attraction,Rarely,Rarely,Rarely,Bottom 50%,Sometimes,Sometimes,Yes,No,No,Yes,7-8 hours,Moderately Well,A little,A little,Quite a bit,Quite a bit,A little,A little,A little,A little,Stressful,Rarely
Male,27 to 30,Both parents are deceased,Fourth year,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Yes,2-3 times a week,Not at all,Rarely,Some of the time,Rarely,Some of the time,Rarely,Some of the time,Heterosexual with some same-sex attraction,Rarely,Sometimes,Sometimes,Bottom 50%,Sometimes,Rarely,Yes,Yes,No,No,5-6 hours,Poorly,Quite a bit,A little,A little,A little,Quite a bit,A little,Quite a bit,Quite a bit,Very relaxing,Sometimes
Female,17 to 21,Both parents are together,First year,Very Severe,Very Severe,Very Severe,Very Severe,Very Severe,Very Severe,Yes,Never,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Non-heterosexual without same-sex sexual contact,Sometimes,Rarely,Rarely,Top 50%,Always,Always,Yes,Yes,Yes,Yes,Less than 5 hours,Very Poorly (Not at all productively),A little,Quite a bit,A little,A little,Quite a bit,Quite a bit,Quite a bit,A little,Stressful,Always
Male,27 to 30,I do not have a father (deceased),Second year,Mild,Moderate,Mild,Moderate,Mild,Mild,Yes,Monthly or less,Rarely,Rarely,Some of the time,Rarely,Rarely,Some of the time,Rarely,Heterosexual with no same-sex attraction,Sometimes,Sometimes,Sometimes,Bottom 50%,Always,Always,Yes,No,Yes,Yes,Less than 5 hours,Very Well (Very Productively),Quite a bit,A little,A little,Quite a bit,A little,A little,Not at all,A little,Very stressful,Never
Female,22 to 26,Separated,Third year,Very Severe,Very Severe,Very Severe,Very Severe,Very Severe,Very Severe,Yes,2-3 times a week,All of the time,Often,Some of the time,Some of the time,Rarely,Rarely,Rarely,Heterosexual with no same-sex attraction,Sometimes,Sometimes,Sometimes,Bottom 50%,Always,Always,Yes,Yes,Yes,Yes,Less than 5 hours,Very Poorly (Not at all productively),Quite a bit,Quite a bit,Quite a bit,Quite a bit,A little,Quite a bit,A little,Not at all,Neutral,Never
Male,27 to 30,I do not have a mother (deceased),Fourth year,Very Severe,Very Severe,Very Severe,Very Severe,Severe,Moderate,Yes,Monthly or less,Rarely,Rarely,Not at all,Often,All of the time,All of the time,All of the time,Non-heterosexual without same-sex sexual contact,Sometimes,Sometimes,Sometimes,Bottom 50%,Sometimes,Sometimes,No,No,No,Yes,5-6 hours,Poorly,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Very stressful,Rarely
Male,30 to 34,Separated,Fourth year,Very Severe,Very Severe,Very Severe,Very Severe,Very Severe,Very Severe,No,2-3 times a week,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Non-heterosexual with same-sex sexual contact,Always,Always,Always,Bottom 50%,Always,Always,Yes,Yes,Yes,Yes,Less than 5 hours,Very Poorly (Not at all productively),Not at all,Not at all,Quite a bit,Quite a bit,A little,Quite a bit,A little,Quite a bit,Very stressful,Always
Male,27 to 30,I do not have a mother (deceased),Second year,Mild,Mild,Mild,Not at all,Mild,Mild,No,2-3 times a week,Not at all,Some of the time,Rarely,Some of the time,Rarely,Some of the time,Rarely,Non-heterosexual without same-sex sexual contact,Sometimes,Rarely,Rarely,Bottom 50%,Sometimes,Rarely,No,Yes,No,No,More than 8 hours,Very Well (Very Productively),Not at all,A little,A little,A little,Quite a bit,A little,A little,A little,Neutral,Always
Female,22 to 26,Separated,Third year,Very Severe,Very Severe,Very Severe,Very Severe,Very Severe,Very Severe,No,Never,Rarely,Rarely,Rarely,Rarely,Some of the time,Some of the time,Some of the time,Non-heterosexual without same-sex sexual contact,Rarely,Sometimes,Rarely,Top 50%,Rarely,Always,Yes,Yes,Yes,No,5-6 hours,Well,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Relaxing,Never
Female,27 to 30,I do not have a mother (deceased),Third year,Mild,Mild,Moderate,Mild,Mild,Moderate,Yes,2-4 times a month,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Non-heterosexual without same-sex sexual contact,Rarely,Sometimes,Sometimes,Bottom 50%,Rarely,Never,No,Yes,No,No,More than 8 hours,Very Well (Very Productively),Not at all,Quite a bit,Quite a bit,A little,Quite a bit,Not at all,Quite a bit,Quite a bit,Very stressful,Always
Female,22 to 26,I do not have a father (deceased),Third year,Mild,Moderate,Mild,Moderate,Mild,Mild,Yes,2-4 times a month,Some of the time,Rarely,Rarely,Some of the time,Rarely,Some of the time,Some of the time,Non-heterosexual without same-sex sexual contact,Sometimes,Rarely,Sometimes,Bottom 50%,Sometimes,Sometimes,No,No,No,No,More than 8 hours,Moderately Well,Not at all,Not at all,A little,Not at all,Not at all,A little,A little,A little,Neutral,Always
Male,22 to 26,Both parents are together,First year,Moderate,Not at all,Mild,Not at all,Not at all,Moderate,Yes,Never,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Often,Non-heterosexual without same-sex sexual contact,Rarely,Never,Never,Top 50%,Often,Often,No,No,No,No,7-8 hours,Moderately Well,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Neutral,Often
Male,22 to 26,Both parents are together,Second year,Severe,Not at all,Mild,Not at all,Not at all,Severe,No,Never,Rarely,Some of the time,Often,Some of the time,Some of the time,Some of the time,Rarely,Heterosexual with no same-sex attraction,Sometimes,Sometimes,Rarely,Bottom 50%,Never,Sometimes,No,No,No,No,7-8 hours,Poorly,Not at all,A little,A little,A little,Quite a bit,A little,Extremely,Quite a bit,Neutral,Rarely
Female,22 to 26,Both parents are together,Fourth year,Moderate,Mild,Moderate,Severe,Moderate,Very Severe,No,Never,Rarely,Not at all,Some of the time,Not at all,Not at all,Some of the time,Not at all,Heterosexual with no same-sex attraction,Often,Often,Often,Top 50%,Sometimes,Always,No,No,Yes,No,7-8 hours,Poorly,Quite a bit,Extremely,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Extremely,Neutral,Sometimes
Male,22 to 26,Both parents are together,Second year,Mild,Moderate,Moderate,Mild,Severe,Mild,No,Never,Some of the time,Rarely,Not at all,Not at all,Rarely,Some of the time,Not at all,Non-heterosexual without same-sex sexual contact,Rarely,Sometimes,Never,Top 50%,Sometimes,Sometimes,Yes,Yes,Yes,Yes,Less than 5 hours,Moderately Well,A little,Extremely,Extremely,A little,Quite a bit,A little,A little,A little,Neutral,Sometimes
Male,22 to 26,Both parents are together,Third year,Very Severe,Mild,Not at all,Mild,Not at all,Severe,No,Never,Rarely,Rarely,Not at all,Rarely,Often,Rarely,Some of the time,Heterosexual with no same-sex attraction,Never,Sometimes,Rarely,Top 50%,Sometimes,Sometimes,Yes,No,Yes,No,Less than 5 hours,Well,A little,Not at all,Quite a bit,A little,Extremely,Quite a bit,A little,Extremely,Stressful,Rarely
Male,17 to 21,Both parents are together,Second year,Moderate,Severe,Severe,Mild,Mild,Moderate,No,Never,Often,Rarely,Some of the time,Some of the time,Some of the time,Not at all,Rarely,Heterosexual with no same-sex attraction,Never,Rarely,Rarely,Top 50%,Rarely,Rarely,No,No,No,No,5-6 hours,Well,Not at all,Not at all,A little,Not at all,A little,Quite a bit,Quite a bit,A little,Neutral,Never
Male,22 to 26,Both parents are together,Third year,Mild,Moderate,Mild,Moderate,Mild,Moderate,Yes,Never,Often,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,Heterosexual with no same-sex attraction,Never,Sometimes,Never,Bottom 50%,Sometimes,Sometimes,No,No,No,No,5-6 hours,Moderately Well,Not at all,Not at all,A little,Not at all,A little,Quite a bit,Quite a bit,Not at all,Neutral,Sometimes
Male,22 to 26,Both parents are together,Third year,Mild,Very Severe,Moderate,Very Severe,Moderate,Mild,No,Never,All of the time,Rarely,Often,Often,Some of the time,Some of the time,Rarely,Heterosexual with no same-sex attraction,Rarely,Sometimes,Sometimes,Bottom 50%,Sometimes,Often,Yes,No,No,No,More than 8 hours,Very Poorly (Not at all productively),A little,Quite a bit,A little,Quite a bit,A little,Quite a bit,A little,Quite a bit,Very relaxing,Always
Female,22 to 26,Both parents are together,Fourth year,Severe,Not at all,Moderate,Moderate,Moderate,Moderate,No,Never,Rarely,Some of the time,Not at all,Rarely,Rarely,Some of the time,Some of the time,Heterosexual with no same-sex attraction,Often,Sometimes,Never,Top 50%,Rarely,Often,No,No,No,No,5-6 hours,Moderately Well,A little,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,A little,Relaxing,Rarely
Female,22 to 26,Both parents are together,Third year,Mild,Not at all,Not at all,Not at all,Not at all,Moderate,Yes,Never,Rarely,Often,Often,Often,All of the time,Rarely,Often,Heterosexual with no same-sex attraction,Sometimes,Sometimes,Never,Bottom 50%,Never,Sometimes,No,No,No,No,Less than 5 hours,Moderately Well,Not at all,Not at all,A little,Not at all,Not at all,Quite a bit,A little,Not at all,Neutral,Often
Male,22 to 26,Both parents are together,Third year,Severe,Very Severe,Very Severe,Very Severe,Mild,Very Severe,No,Never,Not at all,Rarely,Some of the time,Some of the time,Rarely,Some of the time,Not at all,Heterosexual with no same-sex attraction,Often,Often,Often,Top 50%,Sometimes,Rarely,No,No,No,No,5-6 hours,Poorly,Not at all,A little,Quite a bit,Quite a bit,A little,Quite a bit,Quite a bit,Quite a bit,Stressful,Sometimes
Female,22 to 26,Both parents are together,Third year,Moderate,Mild,Mild,Mild,Severe,Severe,No,Never,All of the time,All of the time,Some of the time,Often,Some of the time,Some of the time,Rarely,Heterosexual with no same-sex attraction,Always,Always,Often,Bottom 50%,Often,Sometimes,Yes,No,Yes,No,5-6 hours,Poorly,Quite a bit,A little,Quite a bit,A little,Extremely,Extremely,Not at all,Not at all,Relaxing,Sometimes
Female,22 to 26,Both parents are together,Third year,Severe,Moderate,Severe,Moderate,Mild,Severe,No,Never,Often,Some of the time,Some of the time,Rarely,Some of the time,Rarely,Rarely,Non-heterosexual with same-sex sexual contact,Rarely,Sometimes,Often,Bottom 50%,Sometimes,Rarely,Yes,No,No,Yes,7-8 hours,Moderately Well,Quite a bit,A little,Extremely,Not at all,A little,Quite a bit,Quite a bit,Quite a bit,Neutral,Sometimes
Male,22 to 26,Separated,Third year,Severe,Severe,Severe,Severe,Severe,Severe,No,Never,Rarely,Rarely,Some of the time,Often,Rarely,Some of the time,Rarely,Heterosexual with no same-sex attraction,Never,Sometimes,Sometimes,Bottom 50%,Sometimes,Often,No,No,Yes,No,Less than 5 hours,Poorly,A little,A little,Not at all,Not at all,Not at all,A little,A little,A little,Neutral,Rarely
Female,22 to 26,Both parents are together,Second year,Moderate,Moderate,Moderate,Moderate,Very Severe,Severe,No,Never,Often,Some of the time,Rarely,Some of the time,Rarely,Rarely,Rarely,Heterosexual with no same-sex attraction,Always,Often,Often,Bottom 50%,Rarely,Often,No,No,No,No,5-6 hours,Poorly,Quite a bit,Quite a bit,A little,Quite a bit,Quite a bit,A little,Quite a bit,A little,Stressful,Often
Male,22 to 26,Both parents are together,Fourth year,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Yes,Monthly or less,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Heterosexual with no same-sex attraction,Sometimes,Sometimes,Sometimes,Top 50%,Rarely,Sometimes,No,No,No,No,5-6 hours,Poorly,A little,A little,A little,A little,A little,A little,A little,A little,Stressful,Rarely
Female,22 to 26,Both parents are together,Fourth year,Severe,Moderate,Severe,Very Severe,Severe,Severe,Yes,Never,Some of the time,Some of the time,Often,Often,Some of the time,Often,Often,Heterosexual with no same-sex attraction,Often,Often,Rarely,Top 50%,Sometimes,Often,No,No,Yes,No,7-8 hours,Poorly,Quite a bit,A little,Extremely,Extremely,Extremely,Extremely,A little,A little,Neutral,Sometimes
Male,22 to 26,Both parents are together,Third year,Moderate,Very Severe,Moderate,Moderate,Not at all,Moderate,No,Never,Often,Some of the time,Rarely,Rarely,Some of the time,Some of the time,Some of the time,Heterosexual with no same-sex attraction,Rarely,Sometimes,Never,Bottom 50%,Sometimes,Rarely,No,No,No,No,5-6 hours,Well,A little,A little,A little,A little,Quite a bit,A little,A little,A little,Neutral,Sometimes
Male,22 to 26,Both parents are together,Fourth year,Moderate,Very Severe,Severe,Moderate,Very Severe,Very Severe,No,Monthly or less,Often,Some of the time,Some of the time,Some of the time,Often,Often,Some of the time,Heterosexual with some same-sex attraction,Rarely,Rarely,Sometimes,Bottom 50%,Always,Always,No,No,No,No,5-6 hours,Very Well (Very Productively),A little,A little,A little,Not at all,Not at all,Not at all,Quite a bit,Not at all,Relaxing,Sometimes
Male,22 to 26,Both parents are together,Third year,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,No,Never,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Heterosexual with no same-sex attraction,Often,Often,Often,Top 50%,Sometimes,Sometimes,Yes,No,No,No,Less than 5 hours,Moderately Well,A little,A little,A little,A little,A little,A little,A little,A little,Neutral,Rarely
Female,22 to 26,Both parents are together,Third year,Moderate,Moderate,Mild,Moderate,Mild,Not at all,No,Never,Some of the time,Often,Often,Not at all,Some of the time,Some of the time,Some of the time,Heterosexual with no same-sex attraction,Rarely,Rarely,Rarely,Bottom 50%,Rarely,Rarely,No,Yes,No,No,7-8 hours,Moderately Well,Quite a bit,Quite a bit,Extremely,Extremely,Quite a bit,Quite a bit,Quite a bit,Quite a bit,Neutral,Sometimes
Male,22 to 26,Both parents are together,Second year,Severe,Moderate,Mild,Moderate,Mild,Severe,Yes,Never,Often,Some of the time,Rarely,Often,Some of the time,Often,Some of the time,Heterosexual with no same-sex attraction,Often,Sometimes,Rarely,Top 50%,Often,Always,No,Yes,No,No,5-6 hours,Well,A little,Quite a bit,Extremely,Extremely,Quite a bit,A little,Quite a bit,A little,Stressful,Always
Male,22 to 26,Both parents are together,Third year,Mild,Very Severe,Mild,Moderate,Mild,Mild,Yes,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Heterosexual with some same-sex attraction,Rarely,Rarely,Rarely,Bottom 50%,Never,Sometimes,No,Yes,Yes,Yes,5-6 hours,Very Poorly (Not at all productively),A little,A little,A little,A little,A little,A little,A little,A little,Stressful,Rarely
Male,22 to 26,Both parents are together,Third year,Mild,Not at all,Mild,Not at all,Mild,Mild,Yes,Never,Often,Some of the time,Some of the time,All of the time,All of the time,Some of the time,Often,Heterosexual with no same-sex attraction,Never,Rarely,Rarely,Top 50%,Often,Often,Yes,No,No,No,5-6 hours,Well,Quite a bit,Not at all,A little,Not at all,A little,A little,Quite a bit,Quite a bit,Relaxing,Often
Male,22 to 26,Both parents are together,Third year,Mild,Very Severe,Moderate,Moderate,Mild,Moderate,No,Never,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Heterosexual with some same-sex attraction,Sometimes,Sometimes,Sometimes,Bottom 50%,Sometimes,Sometimes,No,No,No,No,More than 8 hours,Poorly,A little,Not at all,Quite a bit,A little,Quite a bit,Quite a bit,Quite a bit,Not at all,Very relaxing,Sometimes
Male,22 to 26,Both parents are together,Third year,Mild,Very Severe,Mild,Moderate,Not at all,Severe,No,Never,Often,Some of the time,Some of the time,Often,Some of the time,Some of the time,Rarely,Heterosexual with no same-sex attraction,Often,Often,Often,Bottom 50%,Sometimes,Rarely,Yes,Yes,Yes,No,5-6 hours,Moderately Well,A little,Quite a bit,Not at all,A little,A little,A little,A little,A little,Neutral,Rarely
Female,22 to 26,Both parents are together,Third year,Mild,Moderate,Mild,Not at all,Moderate,Moderate,No,Monthly or less,Some of the time,Some of the time,Rarely,Rarely,Rarely,Some of the time,Rarely,Heterosexual with no same-sex attraction,Sometimes,Sometimes,Never,Top 50%,Often,Sometimes,Yes,Yes,Yes,No,5-6 hours,Moderately Well,Quite a bit,Quite a bit,Extremely,Quite a bit,Extremely,Extremely,Extremely,Extremely,Relaxing,Sometimes
Male,22 to 26,Both parents are together,Third year,Very Severe,Very Severe,Very Severe,Very Severe,Very Severe,Very Severe,No,Never,Rarely,Some of the time,Rarely,Rarely,Some of the time,Rarely,Some of the time,Heterosexual with no same-sex attraction,Often,Always,Often,Top 50%,Rarely,Rarely,No,No,No,No,5-6 hours,Very Poorly (Not at all productively),Quite a bit,Extremely,Quite a bit,Extremely,Extremely,Quite a bit,Quite a bit,Quite a bit,Stressful,Rarely
Male,17 to 21,Separated,First year,Moderate,Mild,Mild,Mild,Not at all,Mild,Yes,2-3 times a week,Often,Often,Rarely,Some of the time,Some of the time,Often,Some of the time,Heterosexual with no same-sex attraction,Rarely,Sometimes,Rarely,Bottom 50%,Sometimes,Rarely,No,No,No,No,More than 8 hours,Very Poorly (Not at all productively),Not at all,A little,A little,Quite a bit,A little,A little,Not at all,Not at all,Very relaxing,Always
Female,22 to 26,I do not have a father (deceased),Third year,Moderate,Mild,Mild,Moderate,Mild,Moderate,Yes,Never,Rarely,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Heterosexual with some same-sex attraction,Sometimes,Rarely,Sometimes,Top 50%,Rarely,Rarely,Yes,Yes,Yes,No,More than 8 hours,Moderately Well,A little,Quite a bit,A little,Quite a bit,A little,A little,A little,A little,Relaxing,Sometimes
